fac_no_faction|Нет фракции
fac_commoners|Обыватели
fac_outlaws|Преступники
fac_neutral|Нейтралы
fac_innocents|Невиновные
fac_merchants|Купцы
fac_player_faction|Фракция игрока
fac_player_supporters_faction|Сторонники игрока
fac_kingdom_1|Королевство Свадия
fac_kingdom_2|Королевство Вегирс
fac_kingdom_3|Кергитское ханство
fac_kingdom_4|Северное королевство
fac_kingdom_5|Королевство Родоков
fac_kingdom_6|Султанат Сарранидов
fac_manhunters|Охотники за головами
fac_deserters|Дезертиры
fac_mountain_bandits|Бандиты-горцы
fac_forest_bandits|Лесные бандиты
