imod_plain|Прост. %s
imod_cracked|Треснув. %s
imod_rusty|Ржав. %s
imod_bent|Подпорчен. %s
imod_chipped|Зазубрен. %s
imod_battered|Побит. %s
imod_poor|Плох. %s
imod_crude|Груб. %s
imod_old|Стар. %s
imod_cheap|Дешев. %s
imod_fine|Отличн. %s
imod_well_made|Добротн. %s
imod_sharp|Остр. %s
imod_balanced|Отбалансирован. %s
imod_tempered|Кален. %s
imod_deadly|Смертельн. %s
imod_exquisite|Изящн. %s
imod_masterwork|Великолепн. %s
imod_heavy|Увесист. %s
imod_strong|Крепк. %s
imod_powerful|Мощн. %s
imod_tattered|Изорван. %s
imod_ragged|Поношен. %s
imod_rough|Неотделан. %s
imod_sturdy|Прочн. %s
imod_thick|Толст. %s
imod_hardened|Плотн. %s 
imod_reinforced|Усилен. %s
imod_superb|Превосходн. %s
imod_lordly|Благородн. %s
imod_lame|Хром. %s
imod_swaybacked|Чахл. %s
imod_stubborn|Норовист. %s
imod_timid|Пуглив. %s
imod_meek|Смирн. %s
imod_spirited|Резв. %s
imod_champion|Породист. %s
imod_fresh|Свеж. %s
imod_day_old|Вчерашн. 
imod_two_day_old|Позавчерашн. 
imod_smelling|Пахуч. %s
imod_rotten|Тухл. %s
imod_large_bag|Мешок с %s
