p_zendar|Зендар
p_town_1|Смерхольм
p_town_2|Номендаль
p_town_3|Форвилла
p_town_4|Эйдельберг
p_town_5|Флавия
p_town_6|Мемминген
p_town_7|Дрезенбург
p_town_8|Брешти
p_town_9|Пешт
p_town_10|Угэдэй
p_town_11|Джучи
p_town_12|Хорстен
p_town_13|Люблинь
p_town_14|Чагатай
p_town_15|Альтобрак
p_town_16|Альтенбург
p_town_17|Толуй
p_town_18|Алмалык
p_town_19|Шариз
p_town_20|Дуркуба
p_town_21|Амеррад
p_town_22|Барейе
p_castle_1|Замок Альтриак
p_castle_2|Замок Балигрод
p_castle_3|Замок Беджинь
p_castle_4|Замок Кашгар
p_castle_5|Замок Лахольм
p_castle_6|Замок Лисов
p_castle_7|Замок Бергедорф
p_castle_8|Замок Огроджинец
p_castle_9|Замок Ленций
p_castle_10|Замок Локнитц
p_castle_11|Замок Острафорт
p_castle_12|Замок Кронаборг
p_castle_13|Замок Ротгольм
p_castle_14|Замок Шлеммин
p_castle_15|Замок Амбиан
p_castle_16|Замок Гуденау
p_castle_17|Замок Гродланд
p_castle_18|Замок Кежмарок
p_castle_19|Замок Сыгнак
p_castle_20|Замок Шайбана
p_castle_21|Замок Фолий
p_castle_22|Замок Пешавар
p_castle_23|Замок Айленбург
p_castle_24|Замок Мютсшен
p_castle_25|Замок Драгенфельс
p_castle_26|Замок Дагштуль
p_castle_27|Замок Киркель
p_castle_28|Замок Агнезий
p_castle_29|Замок Ликавка
p_castle_30|Замок Хадан 
p_castle_31|Замок Треньчин
p_castle_32|Замок Скидде
p_castle_33|Замок Веньетта
p_castle_34|Замок Скальхор
p_castle_35|Замок Людвиг
p_castle_36|Замок Росерсберг
p_castle_37|Замок Зборов
p_castle_38|Замок Андрия
p_castle_39|Замок Боротинь
p_castle_40|Замок Гаймыш
p_castle_41|Замок Джамейя
p_castle_42|Замок Терамма
p_castle_43|Замок Шарва
p_castle_44|Замок Дуррин
p_castle_45|Замок Караф
p_castle_46|Замок Веййя
p_castle_47|Замок Замарра
p_castle_48|Замок Барадак
p_village_1|Левенштайн
p_village_2|Штольценфельс
p_village_3|Лукнички
p_village_4|Крайер
p_village_5|Скаген
p_village_6|Шонбург
p_village_7|Марксбург
p_village_8|Корсхольм
p_village_9|Анций
p_village_10|Торп
p_village_11|Эргенэ
p_village_12|Аквиан
p_village_13|Лайоши
p_village_14|Триест
p_village_15|Драгенфельс
p_village_16|Берге
p_village_17|Акерсхус
p_village_18|Соравия
p_village_19|Салона 
p_village_20|Хами
p_village_21|Ханат
p_village_22|Багдис
p_village_23|Арций
p_village_24|Далманий
p_village_25|Ширван
p_village_26|Давиан
p_village_27|Вегелинбург
p_village_28|Ясэ
p_village_29|Раcсепор
p_village_30|Ско
p_village_31|Вийкбург
p_village_32|Транштайн
p_village_33|Строппельс
p_village_34|Ференер
p_village_35|Рипсхольм
p_village_36|Оребро
p_village_37|Халха
p_village_38|Ядер
p_village_39|Теллер
p_village_40|Деи Курия
p_village_41|Огэдэй
p_village_42|Иджагур
p_village_43|Тангут
p_village_44|Тарбагатай
p_village_45|Улуг-уй
p_village_46|Дьеппа
p_village_47|Айль
p_village_48|Дивона
p_village_49|Иль-Аларгу
p_village_50|Тырговишта
p_village_51|Росерсберг
p_village_52|Браубах
p_village_53|Крыжнов
p_village_54|Ружна
p_village_55|Таргород
p_village_56|Варберг
p_village_57|Каменец
p_village_58|Темежвар
p_village_59|Феррера
p_village_60|Катцзенель
p_village_61|Сватенсторп
p_village_62|Токмок
p_village_63|Трутзельц
p_village_64|Альтея
p_village_65|Андернас
p_village_66|Дрогебуж
p_village_67|Тырна
p_village_68|Фолий
p_village_69|Скансе
p_village_70|Либерия
p_village_71|Кыпчак
p_village_72|Лаутеркен
p_village_73|Лигний
p_village_74|Варна
p_village_75|Брод
p_village_76|Бахадур
p_village_77|Чормагун
p_village_78|Лютера
p_village_79|Рабария
p_village_80|Орсте
p_village_81|Громпсонт
p_village_82|Видкильде
p_village_83|Ульструп
p_village_84|Рикомонт
p_village_85|Кежмарок
p_village_86|Никополь
p_village_87|Риви
p_village_88|Алатау
p_village_89|Гаймыш
p_village_90|Ленций
p_village_91|Айн-Ассвади
p_village_92|Диббейн
p_village_93|Кайлыт
p_village_94|Мазих
p_village_95|Тамнух
p_village_96|Хабба
p_village_97|Сехтем
p_village_98|Мавити
p_village_99|Фишара
p_village_100|Икбайл
p_village_101|Узга
p_village_102|Шибль-Зумр
p_village_103|Мийяйт
p_village_104|Таджунат
p_village_105|Ааб
p_village_106|Хаваха
p_village_107|Унрийя
p_village_108|Мит-Нун
p_village_109|Тилимсаль
p_village_110|Рушдих
p_salt_mine|Соляная шахта
p_four_ways_inn|Трактир "На семи ветрах"
p_test_scene|тестовая сцена
p_battlefields|поля боя
p_dhorak_keep|Крепость Калькари
p_training_ground|Тренировочный лагерь
p_training_ground_1|Тренировочный лагерь
p_training_ground_2|Тренировочный лагерь
p_training_ground_3|Тренировочный лагерь
p_training_ground_4|Тренировочный лагерь
p_training_ground_5|Тренировочный лагерь
