trp_multiplayer_profile_troop_male|сетевая профиль войско мужчина
trp_multiplayer_profile_troop_male_pl|сетевая профиль войска мужчина
trp_multiplayer_profile_troop_female|сетевая профиль войско женщина
trp_multiplayer_profile_troop_female_pl|сетевая профиль войска женщина
trp_temp_troop|Временное войско
trp_temp_troop_pl|Временные войска
trp_find_item_cheat|чит поиска предмета
trp_find_item_cheat_pl|чит поиска предметов
trp_random_town_sequence|Случайное событие в городе
trp_random_town_sequence_pl|Случайные события в городе
trp_tournament_participants|Участники состязаний
trp_tournament_participants_pl|Участники состязаний
trp_tutorial_maceman|Боец с булавой
trp_tutorial_maceman_pl|Бойцы с булавами
trp_tutorial_archer|Лучник
trp_tutorial_archer_pl|Лучники
trp_tutorial_swordsman|Мечник
trp_tutorial_swordsman_pl|Мечники
trp_novice_fighter|Боец-новичок
trp_novice_fighter_pl|Бойцы-новички
trp_regular_fighter|Обученный боец
trp_regular_fighter_pl|Обученные бойцы
trp_veteran_fighter|Боец-ветеран
trp_veteran_fighter_pl|Бойцы-ветераны
trp_champion_fighter|Призовой боец
trp_champion_fighter_pl|Призовые бойцы
trp_arena_training_fighter_1|Боец-новичок
trp_arena_training_fighter_1_pl|Бойцы-новички
trp_arena_training_fighter_2|Боец-новичок
trp_arena_training_fighter_2_pl|Бойцы-новички
trp_arena_training_fighter_3|Обученный боец
trp_arena_training_fighter_3_pl|Обученные бойцы
trp_arena_training_fighter_4|Обученный боец
trp_arena_training_fighter_4_pl|Обученные бойцы
trp_arena_training_fighter_5|Обученный боец
trp_arena_training_fighter_5_pl|Обученные бойцы
trp_arena_training_fighter_6|Боец-ветеран
trp_arena_training_fighter_6_pl|Бойцы-ветераны
trp_arena_training_fighter_7|Боец-ветеран
trp_arena_training_fighter_7_pl|Бойцы-ветераны
trp_arena_training_fighter_8|Боец-ветеран
trp_arena_training_fighter_8_pl|Бойцы-ветераны
trp_arena_training_fighter_9|Турнирный боец
trp_arena_training_fighter_9_pl|Турнирные бойцы
trp_arena_training_fighter_10|Турнирный боец
trp_arena_training_fighter_10_pl|Турнирные бойцы
trp_cattle|Скот
trp_cattle_pl|Скот
trp_farmer|Крестьянин
trp_farmer_pl|Крестьяне
trp_townsman|Горожанин
trp_townsman_pl|Горожане
trp_watchman|Стражник
trp_watchman_pl|Стражники
trp_caravan_guard|Охранник каравана
trp_caravan_guard_pl|Охранники каравана
trp_mercenary_swordsman|Мечник-наемник
trp_mercenary_swordsman_pl|Мечники-наемники
trp_hired_blade|Наемник
trp_hired_blade_pl|Наемники
trp_mercenary_crossbowman|Арбалетчик-наемник
trp_mercenary_crossbowman_pl|Арбалетчики-наемники
trp_mercenary_horseman|Всадник-наемник
trp_mercenary_horseman_pl|Всадники-наемники
trp_mercenary_cavalry|Конный наемник
trp_mercenary_cavalry_pl|Конные наемники
trp_mercenaries_end|Окончание списка наемников
trp_mercenaries_end_pl|Окончание списка наемников
trp_swadian_recruit|Свадийский новобранец
trp_swadian_recruit_pl|Свадийские новобранцы
trp_swadian_militia|Свадийский ополченец
trp_swadian_militia_pl|Свадийские ополченцы
trp_swadian_footman|Свадийский пеший воин
trp_swadian_footman_pl|Свадийские пешие воины
trp_swadian_infantry|Свадийский пехотинец
trp_swadian_infantry_pl|Свадийские пехотинцы
trp_swadian_sergeant|Свадийский сержант
trp_swadian_sergeant_pl|Свадийские сержанты
trp_swadian_skirmisher|Свадийский стрелок
trp_swadian_skirmisher_pl|Свадийские стрелки
trp_swadian_crossbowman|Свадийский арбалетчик
trp_swadian_crossbowman_pl|Свадийские арбалетчики
trp_swadian_sharpshooter|Свадийский меткий стрелок
