fac_no_faction|Вольная дзяржава
fac_commoners|Абывацелі
fac_outlaws|Злачынец
fac_neutral|Нейтралы
fac_innocents|Нявінны
fac_merchants|Купец
fac_culture_1|культура 1
fac_culture_2|культура 2
fac_culture_3|культура 3
fac_culture_4|культура 4
fac_culture_5|культура 5
fac_player_faction|Дзяржава гульца
fac_player_supporters_faction|Дзяржава гульца
fac_kingdom_1|Рэч Паспалітая
fac_kingdom_2|Маскоўскае царства
fac_kingdom_3|Крымскае ханства
fac_kingdom_4|Каралеўства Швецыя
fac_kingdom_5|Войска Запарожскае
fac_oim_rebel_faction|Дзяржава 1
fac_manhunters|Стральцы тайнага загаду
fac_deserters|Дэзерціры
fac_mountain_bandits|Горныя бандыты
fac_forest_bandits|Лясныя бандыты
fac_oim_outlaws|Злачынец
