str_no_string|НЯМА РАДКОЎ!
str_empty_string| 
str_yes|Так
str_no|Не
str_blank_string| 
str_error_string|Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!Памылка!!!
str_noone|ніхто не
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} і {s51}
str_s5_s_party|Атрад {s5}
str_bandits_eliminated_by_another|Небяспечных бандытаў знішчыў іншы атрад.
str_msg_battle_won|Бітва выйграная! Націсніце клавішу Tab, каб выйсці...
str_randomize|Выпадкова
str_hold_fire|Не страляць
str_blunt_hold_fire|Стой! / Не страляць
str_finished|Скончаны
str_delivered_damage|Нанесена {reg60} адзінак страт.
str_archery_target_hit|Адлегласць: {reg61} ярдаў. Рахунак: {reg60}
str_use_baggage_for_inventory|Падчас бою вы можаце браць рэчы з куфра (ён знаходзіцца на пачатковай пазіцыі).
str_cant_use_inventory_now|Рэчы цяпер недаступныя.
str_cant_use_inventory_arena|На арэне карыстацца рэчамі нельга.
str_cant_use_inventory_disguised|Вы не можаце карыстацца рэчамі, калі на вас маскіроўка.
str_1_denar|1 талер
str_reg1_denars|{reg1} талераў
str_january_reg1_reg2|{reg1} студзеня {reg2} г.
str_february_reg1_reg2|{reg1} лютага {reg2} г.
str_march_reg1_reg2|{reg1} сакавіка {reg2} г.
str_april_reg1_reg2|{reg1} красавіка {reg2} г.
str_may_reg1_reg2|{reg1} мая {reg2} г.
str_june_reg1_reg2|{reg1} чэрвеня {reg2} г.
str_july_reg1_reg2|{reg1} ліпеня {reg2} г.
str_august_reg1_reg2|{reg1} жніўня {reg2} г.
str_september_reg1_reg2|{reg1} верасня {reg2} г.
str_october_reg1_reg2|{reg1} кастрычніка {reg2} г.
str_november_reg1_reg2|{reg1} лістапада {reg2} г.
str_december_reg1_reg2|{reg1} снежня {reg2} г.
str_town_nighttime| Цяпер Позняя ноч, і сумленных людзей на вуліцы не сустрэнеш.
str_door_locked|Дзверы зачыненыя.
str_castle_is_abondened|Падобна на тое, гэтая крэпасць нікім не занятая.
str_place_is_occupied_by_player|Гэта месца занята вашымі войскамі.
str_place_is_occupied_by_enemy|Гэта месца занята варожымі войскамі.
str_do_you_want_to_retreat|Вы хочаце адступіць?
str_give_up_fight|Пакінуць паядынак?
str_do_you_wish_to_leave_tutorial|Спыніць навучанне?
str_do_you_wish_to_surrender|Здацца?
str_can_not_retreat|Адступаць нельга, побач ворагі!
str_s1_joined_battle_enemy|{s1} далучаюцца да бітвы на баку ворага
str_s1_joined_battle_friend|{s1} далучаюцца да бітвы на вашым боку.
str_entrance_to_town_forbidden|Гарадскія вартавыя адразу ж заўважаць самазванца. Вам не ўдасца праслізнуць міма іх.
str_sneaking_to_town_impossible|Гарадская варта папярэджана. Вы не зможаце праслізнуць міма, як бы вы ні замаскіраваліся.
str_battle_won|Вы выйгралі!
str_battle_lost|Вы прайгралі!
str_attack_walls_success|Пасля жорсткай бітвы вашы салдаты адагналі ворага ад сцен.
str_attack_walls_failure|Вашы салдаты гінуць адзін за адным, кідаючыся на сцены. Нямногія, што засталіся ў жывых, бязладна адступаюць.
str_attack_walls_continue|У гэтай крывавай бітве абодва бакі змагаюцца з роўнай сілай. Нягледзячы на ўсе намаганні вашых войскаў, крэпасць застаецца ў ворага.
str_order_attack_success|Вашы людзі адважна змагаліся і перамаглі ворага.
str_order_attack_failure|Вы ў роспачы глядзіце, як вораг выразае вашых людзей і адціскае жменьку тых, хто выжыў.
str_order_attack_continue|Нягледзячы на тое што бітва было працяглым, вашым войскам не ўдалося атрымаць перамогу.
str_join_order_attack_success|Вашы людзі змагаліся бок аб бок з саюзнікамі і, перамогшы ворага, падзялілі з імі славу.
str_join_order_attack_failure|Вы ў роспачы глядзіце, як вораг выразае вашых людзей і адціскае жменьку тых, хто выжыў.
str_join_order_attack_continue|Нягледзячы на тое што бітва была жорсткай, ні вашым, ні саюзным войскам не ўдалося атрымаць перамогу.
str_siege_defender_order_attack_success|Гарнізон адважна і ўмела ўтрымлівае сцены, адбівае атаку ворага і ператварае паражэнне ў паўнавартасную перамогу.
str_siege_defender_order_attack_failure|Напад хутка пераходзіць у крывавую бойню. Самаадданая абарона не дае вынікаў: гарнізон занадта малы, каб утрымаць сцены, і ўсе абаронцы неўзабаве гінуць ад мячоў ворага.
str_siege_defender_order_attack_continue|Чарговая спроба захапіць паселішча ні да чаго не прыводзіць, але ворагаў яшчэ занадта шмат, каб абаронцы маглі святкаваць перамогу. Аблога працягваецца.
str_hero_taken_prisoner|{s1} з {s3} становіцца палонным {s2}.
str_hero_freed|{s1} з {s3} вызвалены з палону ў {s2}.
str_center_captured|{s2} адбірае {s1} у {s3}.
str_troop_relation_increased|Вашы адносіны з {s1} паляпшаюцца з {reg1} да {reg2}.
str_troop_relation_detoriated|Вашы адносіны з {s1} пагаршаюцца з {reg1} да {reg2}.
str_faction_relation_increased|Вашы адносіны з {s1} паляпшаюцца з {reg1} да {reg2}.
str_faction_relation_detoriated|Вашы адносіны з {s1} пагаршаюцца з {reg1} да {reg2}.
str_party_gained_morale|Ваш атрад атрымлівае {reg1} адзінак баявога духу.
str_party_lost_morale|Ваш атрад губляе {reg1} адзінак баявога духу.
str_qst_follow_spy_noticed_you|Шпіён заўважыў вас! Ён уцякае!
str_father|бацька
str_husband|муж
str_wife|жонка
str_daughter|дачка
str_mother|маці
str_son|сын
str_brother|брат
str_sister|сястра
str_he|Ён
str_she|Яна
str_s3s_s2|{s2} {s2}
str_s5_is_s51|{s5} - {s51}.
str_s5_is_the_ruler_of_s51|{s5} - кіраўнік {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} - дваранін {s6}. 
str_relation_mnus_100|               Варожасць
str_relation_mnus_90|               Варожасць
str_relation_mnus_80|               Варожасць
str_relation_mnus_70|               Нянавісць
str_relation_mnus_60|               Нянавісць
str_relation_mnus_50|               Нездавальненне
str_relation_mnus_40|               Нездавальненне
