itm_no_item|Нет предмета
itm_no_item_pl|Нет предметов
itm_tutorial_spear|Копье
itm_tutorial_spear_pl|Копья
itm_tutorial_club|Дубинка
itm_tutorial_club_pl|Дубинки
itm_tutorial_battle_axe|Секира
itm_tutorial_battle_axe_pl|Секиры
itm_tutorial_arrows|Стрелы
itm_tutorial_arrows_pl|Стрелы
itm_tutorial_bolts|Пули
itm_tutorial_bolts_pl|Пули
itm_tutorial_short_bow|Короткий лук
itm_tutorial_short_bow_pl|Короткие луки
itm_tutorial_crossbow|Арбалет
itm_tutorial_crossbow_pl|Арбалеты
itm_tutorial_throwing_daggers|Метательные кинжалы
itm_tutorial_throwing_daggers_pl|Метательные кинжалы
itm_tutorial_saddle_horse|Верховая лошадь
itm_tutorial_saddle_horse_pl|Верховые лошади
itm_tutorial_shield|Каплевидный щит
itm_tutorial_shield_pl|Каплевидные щиты
itm_tutorial_staff_no_attack|Посох
itm_tutorial_staff_no_attack_pl|Посохи
itm_tutorial_staff|Посох
itm_tutorial_staff_pl|Посохи
itm_tutorial_sword|Меч
itm_tutorial_sword_pl|Мечи
itm_tutorial_axe|Топор
itm_tutorial_axe_pl|Топоры
itm_tutorial_dagger|Кинжал
itm_tutorial_dagger_pl|Кинжал
itm_horse_meat|Конина
itm_horse_meat_pl|Конина
itm_practice_sword|Тренировочный меч
itm_practice_sword_pl|Тренировочные мечи
itm_heavy_practice_sword|Тяжелый тренировочный меч
itm_heavy_practice_sword_pl|Тяжелые тренировочные мечи
itm_practice_dagger|Учебный кинжал
itm_practice_dagger_pl|Учебные кинжалы
itm_practice_axe|Тренировочный топор
itm_practice_axe_pl|Тренировочный топор
itm_arena_axe|Сякера
itm_arena_axe_pl|Сякера
itm_arena_sword|Меч
itm_arena_sword_pl|Меч
itm_arena_sword_two_handed|Двуручный меч
itm_arena_sword_two_handed_pl|Двуручный меч
itm_arena_lance|Копье
itm_arena_lance_pl|Копье
itm_practice_staff|Тренировочный посох
itm_practice_staff_pl|Тренировочные посохи
itm_practice_lance|Учебная кавалерийская пика
itm_practice_lance_pl|Учебные кавалерийские пики
itm_practice_shield|Тренировочный щит
itm_practice_shield_pl|Тренировочные щиты
itm_practice_bow|Тренировочный лук
itm_practice_bow_pl|Тренировочные луки
itm_practice_crossbow|Тренировочный мушкет
itm_practice_crossbow_pl|Тренировочный мушкет
itm_practice_javelin|Тренировочный дротик
itm_practice_javelin_pl|Тренировочный дротик
itm_practice_javelin_melee|Учебный дротик ближнего боя
itm_practice_javelin_melee_pl|Учебные дротики ближнего боя
itm_practice_throwing_daggers|Метательные кинжалы
itm_practice_throwing_daggers_pl|Метательные кинжалы
itm_practice_throwing_daggers_100_amount|Метательные кинжалы
itm_practice_throwing_daggers_100_amount_pl|Метательные кинжалы
itm_practice_horse|Племенной жеребец
itm_practice_horse_pl|Племенные жеребцы
itm_practice_arrows|Трэніровачныя стрэлы
itm_practice_arrows_pl|Трэніровачныя стрэлы
itm_practice_bolts|Трэніровачныя кулі
itm_practice_bolts_pl|Трэніровачныя кулі
itm_practice_arrows_10_amount|Трэніровачныя стрэлы
itm_practice_arrows_10_amount_pl|Трэніровачныя стрэлы
itm_practice_arrows_100_amount|Трэніровачныя стрэлы
itm_practice_arrows_100_amount_pl|Трэніровачныя стрэлы
itm_practice_bolts_9_amount|Трэніровачныя кулі
itm_practice_bolts_9_amount_pl|Трэніровачныя кулі
itm_practice_boots|Тренировочные сапоги
itm_practice_boots_pl|Тренировочные сапоги
itm_red_tourney_armor|Красный турнирный доспех
itm_red_tourney_armor_pl|Красные турнирные доспехи
itm_blue_tourney_armor|Синий турнирный доспех
itm_blue_tourney_armor_pl|Синие турнирные доспехи
itm_green_tourney_armor|Зеленый турнирный доспех
itm_green_tourney_armor_pl|Зеленые турнирные доспехи
itm_gold_tourney_armor|Золотой турнирный доспех
itm_gold_tourney_armor_pl|Золотые турнирные доспехи
itm_red_tourney_helmet|Красный турнирный шлем
itm_red_tourney_helmet_pl|Красные турнирные шлемы
itm_blue_tourney_helmet|Синий турнирный шлем
itm_blue_tourney_helmet_pl|Синие турнирные шлемы
itm_green_tourney_helmet|Зеленый турнирный шлем
itm_green_tourney_helmet_pl|Зеленые турнирные шлемы
itm_gold_tourney_helmet|Золотой турнирный шлем
itm_gold_tourney_helmet_pl|Золотые турнирные шлемы
itm_arena_shield_red|Щит
itm_arena_shield_red_pl|Щит
itm_arena_shield_blue|Щит
itm_arena_shield_blue_pl|Щит
itm_arena_shield_green|Щит
itm_arena_shield_green_pl|Щит
itm_arena_shield_yellow|Щит
itm_arena_shield_yellow_pl|Щит
itm_arena_armor_white|Белый доспех для арены
itm_arena_armor_white_pl|Белые доспехи для арены
itm_arena_armor_red|Красный доспех для арены
itm_arena_armor_red_pl|Красные доспехи для арены
itm_arena_armor_blue|Синий доспех для арены
itm_arena_armor_blue_pl|Синие доспехи для арены
itm_arena_armor_green|Зеленый доспех для арены
itm_arena_armor_green_pl|Зеленые доспехи для арены
itm_arena_armor_yellow|Желтый доспех для арены
itm_arena_armor_yellow_pl|Желтые доспехи для арены
itm_arena_tunic_white|Белая туника для арены
itm_arena_tunic_white_pl|Белые туники для арены
itm_arena_tunic_red|Красная туника для арены
itm_arena_tunic_red_pl|Красные туники для арены
itm_arena_tunic_blue|Синяя туника для арены
itm_arena_tunic_blue_pl|Синие туники для арены
itm_arena_tunic_green|Зеленая туника для арены
itm_arena_tunic_green_pl|Зеленые туники для арены
itm_arena_tunic_yellow|Желтая туника для арены
itm_arena_tunic_yellow_pl|Желтые туники для арены
itm_arena_helmet_red|Красный шлем для арены
itm_arena_helmet_red_pl|Красные шлемы для арены
itm_arena_helmet_blue|Синий шлем для арены
itm_arena_helmet_blue_pl|Синие шлемы для арены
itm_arena_helmet_green|Зеленый шлем для арены
itm_arena_helmet_green_pl|Зеленые шлемы для арены
itm_arena_helmet_yellow|Желтый шлем для арены
itm_arena_helmet_yellow_pl|Желтые шлемы для арены
itm_steppe_helmet_white|Белый шлем степняка
itm_steppe_helmet_white_pl|Белые шлемы степняков
itm_steppe_helmet_red|Красный шлем степняка
itm_steppe_helmet_red_pl|Красные шлемы степняков
itm_steppe_helmet_blue|Синий шлем степняка
itm_steppe_helmet_blue_pl|Синие шлемы степняков
itm_steppe_helmet_green|Зеленый шлем степняка
itm_steppe_helmet_green_pl|Зеленые шлемы степняков
itm_steppe_helmet_yellow|Желтый шлем степняка
itm_steppe_helmet_yellow_pl|Желтые шлемы степняков
itm_tourney_helm_white|Белый турнирный шлем
itm_tourney_helm_white_pl|Белые турнирные шлемы
itm_tourney_helm_red|Красный турнирный шлем
itm_tourney_helm_red_pl|Красные турнирные шлемы
itm_tourney_helm_blue|Синий турнирный шлем
itm_tourney_helm_blue_pl|Синие турнирные шлемы
itm_tourney_helm_green|Зеленый турнирный шлем
itm_tourney_helm_green_pl|Зеленые турнирные шлемы
itm_tourney_helm_yellow|Желтый турнирный шлем
itm_tourney_helm_yellow_pl|Желтые турнирные шлемы
itm_arena_turban_red|Тюрбан для арены
itm_arena_turban_red_pl|Тюрбаны для арены
itm_arena_turban_blue|Тюрбан для арены
itm_arena_turban_blue_pl|Тюрбаны для арены
itm_arena_turban_green|Тюрбан для арены
itm_arena_turban_green_pl|Тюрбаны для арены
itm_arena_turban_yellow|Тюрбан для арены
itm_arena_turban_yellow_pl|Тюрбаны для арены
itm_book_tactics|Трактат о военном деле' Вегеция
itm_book_tactics_pl|Трактат о военном деле' Вегеция
itm_book_persuasion|Риторика' Филиппа Меланхтона
itm_book_persuasion_pl|Риторика' Филиппа Меланхтона
itm_book_leadership|Принципы управления государством' Жана дю Плесси де Ришелье
itm_book_leadership_pl|Принципы управления государством' Жана дю Плесси де Ришелье
itm_book_intelligence|Граматично изказанье об руском езику' Юрия Крижанича
itm_book_intelligence_pl|Граматично изказанье об руском езику' Юрия Крижанича
itm_book_trade|Рассуждение о торговле Англии с Ост-Индией', памфлет Томаса Мана
itm_book_trade_pl|Рассуждение о торговле Англии с Ост-Индией', памфлет Томаса Мана
itm_book_weapon_mastery|Трактат о фехтовании' Антонио Ловино
itm_book_weapon_mastery_pl|Трактат о фехтовании' Антонио Ловино
itm_book_engineering|Геометрия' Рене Декарта 
itm_book_engineering_pl|Геометрия' Рене Декарта 
itm_book_wound_treatment_reference|Лечебник' Адама Олеария
itm_book_wound_treatment_reference_pl|Лечебник' Адама Олеария
itm_book_training_reference|Военное искусство' Никколо Маккиавелли
itm_book_training_reference_pl|Военное искусство' Никколо Маккиавелли
itm_book_surgery_reference|Трактат о хирургии и инструментах' Абу аль-Касима
itm_book_surgery_reference_pl|Трактат о хирургии и инструментах' Абу аль-Касима
itm_spice|Спецыі
itm_spice_pl|Спецыі
itm_salt|Соль
itm_salt_pl|Соль
itm_oil|Алей
itm_oil_pl|Алей
itm_pottery|Гліняны посуд
itm_pottery_pl|Гліняны посуд
itm_raw_flax|Цюк лёну
itm_raw_flax_pl|Цюк лёну
itm_linen|Палатно
itm_linen_pl|Палотны
itm_wool|Шэрсць
itm_wool_pl|Шэрсць
itm_wool_cloth|Ваўняная вопратка
itm_wool_cloth_pl|Ваўняная вопратка
itm_raw_silk|Шоўк-сырэц
itm_raw_silk_pl|Шоўк-сырэц
