imod_plain|Гладк. %s
imod_cracked|Трэснуць. %s
imod_rusty|Іржавы. %s
imod_bent|Пагнуць. %s
imod_chipped|Вышчэрблены. %s
imod_battered|Знош. %s
imod_poor|Дрэнны. %s
imod_crude|Грубы. %s
imod_old|Стары. %s
imod_cheap|Танней. %s
imod_fine|Выдатны. %s
imod_well_made|Дыхтоўны. %s
imod_sharp|Востры. %s
imod_balanced|Збалансаваны. %s
imod_tempered|Кален. %s
imod_deadly|Смерт. %s
imod_exquisite|Вынаходства. %s
imod_masterwork|Майстэрск. %s
imod_heavy|Цяжкі. %s
imod_strong|Сілн. %s
imod_powerful|Магутна. %s
imod_tattered|Падушыць. %s
imod_ragged|Паціраць. %s
imod_rough|Грубы. %s
imod_sturdy|Крэпка. %s
imod_thick|Тоўсты. %s
imod_hardened|Шчыльна. %s
imod_reinforced|Узмацняць. %s
imod_superb|Прекрасн. %s
imod_lordly|Высакародны. %s
imod_lame|Кульгавы %s
imod_swaybacked|Чэзлы %s
imod_stubborn|Наравісты %s
imod_timid|Нясмелы % s
imod_meek|Лагодны % s
imod_spirited|Жвавы %s
imod_champion|Пародзісты %s
imod_fresh|Свежая % s
imod_day_old|Нясвежая % s
imod_two_day_old|Старая %s
imod_smelling|Тухлая %s
imod_rotten|Гнілая % s
imod_large_bag|Камплект %s
