pt_none|Не
pt_rescued_prisoners|Выратаваныя палонныя
pt_enemy|Вораг
pt_hero_party|Геройскі атрад
pt_village_defenders|Абаронцы вёскі
pt_cattle_herd|Статак жывёлы
pt_looters|Злодзей
pt_manhunters|Стральцы тайнага загаду
pt_steppe_bandits|Татарскія налётчыкі
pt_forest_bandits|Бунтар
pt_mountain_bandits|Разбойнік
pt_sea_raiders|Бандыт
pt_deserters|Дэзерціры
pt_merchant_caravan|Гандлёвы абоз
pt_troublesome_bandits|Небяспечныя бандыты
pt_bandits_awaiting_ransom|Бандыты, якія чакаюць выкупу
pt_kidnapped_girl|Выкрадзеная дзяўчына
pt_village_farmers|Испольщики
pt_spy_partners|Непрыкметныя вандроўцы
pt_runaway_serfs|Збеглыя халопы
pt_spy|Звычайны гараджанін
pt_sacrificed_messenger|Прынесены ў ахвяру пасланнік
pt_forager_party|Фуражыры
pt_scout_party|Выведнік
pt_patrol_party|Патруль
pt_messenger_party|Пасланнік
pt_raider_party|Рэйдэр
pt_raider_captives|Палонныя рэйдэры
pt_kingdom_caravan_party|Абоз
pt_prisoner_train_party|Абоз са зняволенымі
pt_default_prisoners|Звычайныя палонныя
pt_routed_warriors|Беглыя ворагі
pt_center_reinforcements|Падмацаваньне
pt_kingdom_hero_party|Ваенны атрад
pt_kingdom_1_reinforcements_a|дзяржава 1 падмацавання a
pt_kingdom_1_reinforcements_b|дзяржава 1 падмацавання b
pt_kingdom_1_reinforcements_c|дзяржава 1 падмацавання c
pt_kingdom_2_reinforcements_a|ДЗЯРЖАВА 2 падмацавання a
pt_kingdom_2_reinforcements_b|ДЗЯРЖАВА 2 падмацавання b
pt_kingdom_2_reinforcements_c|ДЗЯРЖАВА 2 падмацавання c
pt_kingdom_3_reinforcements_a|дзяржава 3 падмацавання a
pt_kingdom_3_reinforcements_b|дзяржава 3 падмацавання b
pt_kingdom_3_reinforcements_c|дзяржава 3 падмацавання c
pt_kingdom_4_reinforcements_a|дзяржава 4 падмацавання a
pt_kingdom_4_reinforcements_b|дзяржава 4 падмацавання b
pt_kingdom_4_reinforcements_c|дзяржава 4 падмацавання c
pt_kingdom_5_reinforcements_a|дзяржава 5 падмацавання a
pt_kingdom_5_reinforcements_b|дзяржава 5 падмацавання b
pt_kingdom_5_reinforcements_c|дзяржава 5 падмацавання c
pt_steppe_bandit_lair|Логава стэпавых бандытаў
pt_forest_bandit_lair|Логава лясных бандытаў
pt_mountain_bandit_lair|Прытулак бандытаў-горцаў
pt_sea_raider_lair|Прытулак марскіх налётчыкаў
pt_looter_lair|Прытулак выкрадальнікаў
pt_leaded_looters|Шайка разбойнікаў
pt_zamoshie_bandits|Разбойнікі з Замошша
pt_oim_monfor_party|Атрад Жака дэ Клермона
pt_oim_swedish_army|Шведская армія
pt_oim_kozak_army|Атрад казакоў
pt_oim_zagloba_party|Атрад Заглобы
pt_oim_potop_mercs_army|Нямецкія найміты
pt_oim_potop_mercs_army2|Нямецкія найміты
pt_getman_deserters|Дэзерціры
pt_oim_merchant_caravan|Гандлёвы абоз
pt_oim_merchant_caravan2|Гандлёвы абоз
pt_oim_static_object|Не перакладаецца
pt_village_defenders_fac1|Абаронцы вёскі
pt_village_defenders_fac2|Абаронцы вёскі
pt_village_defenders_fac3|Абаронцы вёскі
pt_village_defenders_fac4|Абаронцы вёскі
pt_village_defenders_fac5|Абаронцы вёскі
