skl_trade|Гандаль
skl_trade_desc|З кожным новым узроўнем гэтага навыку гандлёвыя нацэнкі памяншаюцца на 5%% (навык атрада).
skl_leadership|Лідэрства
skl_leadership_desc|З кожным новым узроўнем гэтага навыку колькасць людзей, якімі вы можаце камандаваць, павялічваецца на 5, павышаецца баявы дух, а выдаткі на войска зніжаюцца на 5%%.
skl_prisoner_management|Змест палонных
skl_prisoner_management_desc|З кожным новым узроўнем гэтага навыку максімальны лік палонных, якіх вы можаце захапіць, павялічваецца на %d.
skl_reserved_1|Зарэзерваваны навык 1
skl_reserved_1_desc|Гэта ўменне зарэзервавана.
skl_reserved_2|Зарэзерваваны навык 2
skl_reserved_2_desc|Гэта ўменне зарэзервавана.
skl_reserved_3|Зарэзерваваны навык 3
skl_reserved_3_desc|Гэта ўменне зарэзервавана.
skl_reserved_4|Зарэзерваваны навык 4
skl_reserved_4_desc|Гэта ўменне зарэзервавана.
skl_persuasion|Перакананне
skl_persuasion_desc|Гэта ўменне дапамагае вам схіляць людзей на свой бок.
skl_engineer|Інжынерыя
skl_engineer_desc|Гэта ўменне дапамагае вам будаваць аблогавыя машыны і ўмацоўваць ваша маёнтак (навык атрада).
skl_first_aid|Першая дапамога
skl_first_aid_desc|Кожны новы ўзровень гэтага навыку аднаўляе ў Герояў 5%% здароўя, страчанага пры выкананні задання (навык атрада).
skl_surgery|Хірургія
skl_surgery_desc|З кожным новым узроўнем гэтага навыку кожны член атрада атрымлівае 4%% шанец выжыць пры атрыманні смяротнага раненні (навык атрада).
skl_wound_treatment|Перавязка ран
skl_wound_treatment_desc|З кожным новым узроўнем гэтага навыку хуткасць лячэння атрада ўзрастае на 20%% (навык атрада).
skl_inventory_management|Лагістыка
skl_inventory_management_desc|З кожным новым узроўнем гэтага навыку змяшчальнасць вашага інвентара павялічваецца на 6 пунктаў.
skl_spotting|Зоркасць
skl_spotting_desc|З кожным новым узроўнем гэтага навыку поле зроку атрада павялічваецца на 10%% (навык атрада).
skl_pathfinding|Пошук шляху
skl_pathfinding_desc|З кожным новым узроўнем гэтага навыку хуткасць перамяшчэння атрада па карце павялічваецца на 3%% (навык атрада).
skl_tactics|Тактыка
skl_tactics_desc|Кожны цотны ўзровень гэтага навыку павышае пачатковую перавагу ў баі на 1 (навык атрада).
skl_tracking|Сачэнне
skl_tracking_desc|Сачэнне становіцца больш інфарматыўным (навык атрада).
skl_trainer|Навучанне
skl_trainer_desc|Раз у дзень кожны герой аддае трохі вопыту тым членам атрада, чые навыкі горш геройскіх. Колькасць атрымоўванага вопыту: 0, 4, 10, 16, 23, 30, 38, 46, 55, 65, 80.
skl_reserved_5|Зарэзерваваны навык 5
skl_reserved_5_desc|Гэта ўменне зарэзервавана.
skl_reserved_6|Зарэзерваваны навык 6
skl_reserved_6_desc|Гэта ўменне зарэзервавана.
skl_reserved_7|Зарэзерваваны навык 7
skl_reserved_7_desc|Гэта ўменне зарэзервавана.
skl_reserved_8|Зарэзерваваны навык 8
skl_reserved_8_desc|Гэта ўменне зарэзервавана.
skl_looting|Збор трафеяў
skl_looting_desc|З кожным новым узроўнем гэтага навыку колькасць атрыманай здабычы будзе павялічвацца на 10%% (навык атрада).
skl_horse_archery|Стральба верхам
skl_horse_archery_desc|Пры яздзе верхам дазваляе страляць дакладней, наносіць больш страт і радзей падаць з сядла.
skl_riding|Верхавая язда
skl_riding_desc|Дазваляе ездзіць на больш пародзістых конях і павялічвае хуткасць язды і верткость каня.
skl_athletics|Атлетыка
skl_athletics_desc|Павялічвае хуткасць бегу.
skl_shield|Валоданне шчытом
skl_shield_desc|Зніжае страты, які наносіцца па шчыту (на 8%% з кожным новым узроўнем), павялічвае хуткасць шчыта і зону яго пакрыцця.
skl_weapon_master|Валоданне зброяй
skl_weapon_master_desc|Палягчае навучанне і павышае мяжа валодання зброяй. Межы бываюць наступныя: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420.
skl_reserved_9|Зарэзерваваны навык 9
skl_reserved_9_desc|Гэта ўменне зарэзервавана.
skl_reserved_10|Зарэзерваваны навык 10
skl_reserved_10_desc|Гэта ўменне зарэзервавана.
skl_reserved_11|Зарэзерваваны навык 11
skl_reserved_11_desc|Гэта ўменне зарэзервавана.
skl_reserved_12|Зарэзерваваны навык 12
skl_reserved_12_desc|Гэта ўменне зарэзервавана.
skl_reserved_13|Зарэзерваваныя уменне 13
skl_reserved_13_desc|Гэта ўменне зарэзервавана.
skl_power_draw|Магутны стрэл
skl_power_draw_desc|Дазваляе персанажу карыстацца магутнымі лукамі. З кожным новым узроўнем гэтага навыку (максімум - 4 плюс параметр магутнага стрэлу ў самога лука) страты, які наносіцца лукам, павялічваецца на 14%%.
skl_power_throw|Кіданне гранат
skl_power_throw_desc|З кожным новым узроўнем гэтага навыку страты, які наносіцца кідальных зброяй, павялічваецца на 10%%. Акрамя таго, радыус паразы павялічваецца на 1 крок кожныя 2 ўзроўню. 
skl_power_strike|Магутны ўдар
skl_power_strike_desc|З кожным новым узроўнем гэтага навыку страты, які наносіцца зброяй блізкага бою, павялічваецца на 8%%.
skl_ironflesh|Жалезная скура
skl_ironflesh_desc|З кожным новым узроўнем гэтага навыку запас здароўя павялічваецца на 2.
skl_reserved_14|Зарэзерваваны навык 14
skl_reserved_14_desc|Гэта ўменне зарэзервавана.
skl_reserved_15|Зарэзерваваны навык 15
skl_reserved_15_desc|Гэта ўменне зарэзервавана.
skl_reserved_16|Зарэзерваваны навык 16
skl_reserved_16_desc|Гэта ўменне зарэзервавана.
skl_reserved_17|Зарэзерваваныя уменне 17
skl_reserved_17_desc|Гэта ўменне зарэзервавана.
skl_reserved_18|Зарэзерваваны навык 18
