skinkey_chin_size|Памер падбародка
skinkey_chin_shape|Форма падбародка
skinkey_chin_forward|Выпукласць падбародка
skinkey_jaw_width|Шырыня сківіцы
skinkey_jaw_position|Выпукласць сківіцы
skinkey_mouth_nose_distance|Адлегласць ад рота да носа
skinkey_mouth_width|Шырыня рота
skinkey_cheeks|Шчака
skinkey_nose_height|Вышыня носа
skinkey_nose_width|Шырыня носа
skinkey_nose_size|Даўжыня носа
skinkey_nose_shape|Форма носа
skinkey_nose_bridge|Пераноссе
skinkey_cheek_bones|Скула
skinkey_eye_width|Шырыня вачэй
skinkey_eye_to_eye_dist|Пасадка вачэй
skinkey_eye_shape|Форма вачэй
skinkey_eye_depth|Глыбіня вачэй
skinkey_eyelids|Стагоддзе
skinkey_eyebrow_position|Становішча броваў
skinkey_eyebrow_height|Вышыня броваў
skinkey_eyebrow_depth|Глыбіня броваў
skinkey_eyebrow_shape|Форма броваў
skinkey_temple_width|Форма галавы
skinkey_face_depth|Глыбіня асобы
skinkey_face_ratio|Прапорцыі асобы
skinkey_face_width|Шырыня асобы
skinkey_post_edit|Пост-рэдагаванне
