trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_multiplayer_profile_troop_male_pl|сеткавы профіль войскі мужчына
trp_multiplayer_profile_troop_female|сеткавы профіль войска жанчына
trp_multiplayer_profile_troop_female_pl|сеткавы профіль войскі жанчына
trp_temp_troop|Часовае войска
trp_temp_troop_pl|Часовыя войскі
trp_find_item_cheat|чыць пошуку прадмета
trp_find_item_cheat_pl|чыць пошуку прадметаў
trp_random_town_sequence|Выпадковае падзея ў горадзе
trp_random_town_sequence_pl|Выпадковыя падзеі ў горадзе
trp_tournament_participants|Удзельнікі спаборніцтваў
trp_tournament_participants_pl|Удзельнікі спаборніцтваў
trp_tutorial_maceman|Баец з булавой
trp_tutorial_maceman_pl|Байцы з булавамі
trp_tutorial_archer|Лучнік
trp_tutorial_archer_pl|Лучнік
trp_tutorial_swordsman|Мечнік
trp_tutorial_swordsman_pl|Мечнік
trp_novice_fighter|Баец-пачатковец
trp_novice_fighter_pl|Байцы-пачаткоўцы
trp_regular_fighter|Навучаны баец
trp_regular_fighter_pl|Навучаныя байцы
trp_veteran_fighter|Баец-ветэран
trp_veteran_fighter_pl|Байцы-ветэраны
trp_champion_fighter|Баец-чэмпіён
trp_champion_fighter_pl|Байцы-чэмпіёны
trp_arena_training_fighter_1|Баец-пачатковец
trp_arena_training_fighter_1_pl|Байцы-пачаткоўцы
trp_arena_training_fighter_2|Баец-пачатковец
trp_arena_training_fighter_2_pl|Байцы-пачаткоўцы
trp_arena_training_fighter_3|Навучаны баец
trp_arena_training_fighter_3_pl|Навучаныя байцы
trp_arena_training_fighter_4|Навучаны баец
trp_arena_training_fighter_4_pl|Навучаныя байцы
trp_arena_training_fighter_5|Навучаны баец
trp_arena_training_fighter_5_pl|Навучаныя байцы
trp_arena_training_fighter_6|Баец-ветэран
trp_arena_training_fighter_6_pl|Байцы-ветэраны
trp_arena_training_fighter_7|Баец-ветэран
trp_arena_training_fighter_7_pl|Байцы-ветэраны
trp_arena_training_fighter_8|Баец-ветэран
trp_arena_training_fighter_8_pl|Байцы-ветэраны
trp_arena_training_fighter_9|Турнірны баец
trp_arena_training_fighter_9_pl|Турнірныя байцы
trp_arena_training_fighter_10|Турнірны баец
trp_arena_training_fighter_10_pl|Турнірныя байцы
trp_cattle|Быдла
trp_cattle_pl|Быдла
trp_farmer|Селянін
trp_farmer_pl|Селянін
trp_townsman|Апалчэнец
trp_townsman_pl|Апалчэнец
trp_watchman|Наёмны алебардыст
trp_watchman_pl|Наёмныя алебардысты
trp_caravan_guard|Наёмны вершнік
trp_caravan_guard_pl|Наёмныя коннікі
trp_mercenary_swordsman|Наёмны стралок
trp_mercenary_swordsman_pl|Наёмныя стрэлкі
trp_hired_blade|Наёмны пікінер
trp_hired_blade_pl|Наёмныя пікінеры
trp_mercenary_crossbowman|Наёмны мушкецёр
trp_mercenary_crossbowman_pl|Наёмныя мушкецёры
trp_mercenary_horseman|Наёмны лёгкі кавалерыст
trp_mercenary_horseman_pl|Наёмная лёгкая кавалерыя
trp_mercenaries_end|Заканчэнне спісу наймітаў
trp_mercenaries_end_pl|Заканчэнне спісу наймітаў
trp_swadian_recruit|Касінер
trp_swadian_recruit_pl|Касінеры
trp_swadian_militia|Апалчэнец-пікінер
trp_swadian_militia_pl|Апалчэнне пікінераў
trp_swadian_militia_levelup|Апалчэнец-пікінер
trp_swadian_militia_levelup_pl|Апалчэнне пікінераў
trp_swadian_skirmisher|Апалчэнец з мушкетам
trp_swadian_skirmisher_pl|Апалчэнцы з мушкетам
trp_swadian_skirmisher_levelup|Апалчэнец з мушкетам (ветэран)
trp_swadian_skirmisher_levelup_pl|Апалчэнцы з мушкетамі (ветэраны)
trp_swadian_footman|Пікінер
trp_swadian_footman_pl|Пікінеры
trp_swadian_footman_levelup|Пікінер (ветэран)
trp_swadian_footman_levelup_pl|Пікінеры (ветэраны)
trp_swadian_crossbowman|Жалнер
trp_swadian_crossbowman_pl|Жалнеры
trp_swadian_crossbowman_levelup|Жалнер (ветэран)
trp_swadian_crossbowman_levelup_pl|Жалнеры (ветэраны)
trp_swadian_infantry|Пікінер нямецкага ладу
trp_swadian_infantry_pl|Пікінеры нямецкага ладу
trp_swadian_infantry_levelup|Пікінер (ветэран)
trp_swadian_infantry_levelup_pl|Пікінеры нямецкага ладу (ветэраны)
trp_swadian_sharpshooter|Мушкецёр нямецкага ладу
trp_swadian_sharpshooter_pl|Мушкецёры нямецкага ладу
trp_swadian_sharpshooter_levelup|Мушкецёр нямецкага ладу (ветэран)
trp_swadian_sharpshooter_levelup_pl|Мушкецёры нямецкага ладу (ветэраны)
trp_swadian_man_at_arms|Валанцёр
trp_swadian_man_at_arms_pl|Валанцёр
trp_swadian_man_at_arms_levelup|Валанцёр (ветэран)
trp_swadian_man_at_arms_levelup_pl|Валанцёры (ветэраны)
trp_polish_dragoon|Драгун
trp_polish_dragoon_pl|Драгун
trp_polish_dragoon_levelup|Драгун (ветэран)
trp_polish_dragoon_levelup_pl|Драгуны (ветэраны)
trp_swadian_sergeant|Панцырны казак
trp_swadian_sergeant_pl|Панцырныя казакі
trp_swadian_sergeant_levelup|Панцырны казак (ветэран)
trp_swadian_sergeant_levelup_pl|Панцырныя казакі (ветэраны)
trp_polish_reytar|Польскі Рэйтар
trp_polish_reytar_pl|Польскія рэйтары
